NO.,名称,网址,说明,标签,国内访问Y/N,记录日期,
54,pimeyes,https://pimeyes.com/,"查看哪些网站
发布了您的照片
人脸搜索引擎和反向图像搜索，如果查看图片信息收费",搜索工具,国内无法访问,,
55,online-convert,https://www.online-convert.com/,免费在线文件转换器 在线将媒体文件从一种格式转换为另一种格式,文件转换,,,
56,amz123,https://www.amz123.com/,专注于亚马逊卖家导航的网站，因其中立、专业而在众多卖家中树立了良好口碑。AMZ123力求成为亚马逊卖家的Hao123，围绕卖家需求，以一站式入口持续收集整理亚马逊卖家运营必备工具 。做跨境电商，就上AMZ123。,网络地图,,,
57,Kickstarter,https://www.kickstarter.com/,Kickstarter有许多种创意项目募集资金,募资平台,国内无法访问,,
58,Wayback,https://archive.org/,网站时光机（英語：Wayback Machine）是万维网的數碼档案馆,存档,国内无法访问,,
59,ZeroBlur,https://divbyzero.com/tools/blur-extension/,"零模糊
共享屏幕时不再暴露敏感数据
100% 免费的浏览器扩展来模糊您的敏感数据",浏览器插件,,,
60,pcpartpicker,https://pcpartpicker.com/,构建您自己的 PC 并需要从哪里开始的想法？探索我们的构建指南，其中涵盖了适用于各种用例和预算的系统,电脑组装,,,
61,Mercury Reader,https://chrome.google.com/webstore/detail/mercury-reader/oknpjjbmpnndlpmnhmekjpocelpnlfdi,穿透付费阅读谷歌浏览器插件。（如果需要按装其它浏览器的可以百度搜索 Mercury Reader）,浏览器插件,国内无法访问,,
62,devtoys,https://devtoys.app/,"开发人员 的 瑞士军刀
一款可帮助开发人员完成日常任务的离线 Windows 应用",软件下载,,,
63,YouTube™ 双字幕,https://www.dual-subtitles.com/zh-CN/whatsnew/3.6.2,YouTube™ 双字幕 （谷歌浏览器插件）,浏览器插件,,,
64,wispri,https://wispri.com.au/,Wispri 为您最喜欢的产品设置警报，并在价格下降时通知您。,工具,国内无法访问,,
65,ClashX Pro,https://install.appcenter.ms/users/clashx/apps/clashx-pro/distribution_groups/public,简单轻量化的代理客户端,网络代理,,,
66,ARChon,https://archon-runtime.github.io/,"安卓模拟器 - 谷歌浏览器插件
在 OS X、Linux 和 Windows 的 Chrome 中运行 Android 应用程序",浏览器插件,,,
67,shadowsocks,https://shadowsocks.org/en/download/clients.html,快速隧道代理,网络代理,国内无法访问,,
68,NirSoft,https://www.nirsoft.net/,提供了一组独特的小型实用免费软件实用程序,工具软件,,,
69,Online Tools,https://emn178.github.io/online-tools/index.html,SHA256在线哈希文件校验和函数,工具软件,,,
70,APK downloader,https://apps.evozi.com/apk-downloader/,在线服务将允许您从 Google Play 将 apk 文件直接下载到您的桌面和设备上,软件下载,国内无法访问,,
71,apkpure,https://apkpure.com/cn/,安卓应用下载,软件下载,国内无法访问,,
72,apk.support,https://apk.support/apk-downloader,在线服务将允许您从 Google Play 将 apk 文件直接下载到您的桌面和设备上,软件下载,国内无法访问,,
73,蒲公英,https://www.pgyer.com,免费无限次的应用内测分发平台,应用内测平台,,,
74,codefever,https://git.pgyer.com,CodeFever 是一款蒲公英旗下的代码仓库平台，提供更加轻便、高效、稳定的研发生产。团队可以更自由的开展研发工作及规划部署项目等。,开源代码,,,
75,workers,https://workers.cloudflare.com/,立即在全球范围内部署无服务器代码，为其提供卓越的性能、可靠性和规模,服务器,,,
76,colab,https://colab.research.google.com/,在浏览器中编写和执行 Python 代码 swift代码等,,国内无法访问,,
77,codingem,https://www.codingem.com/best-programming-websites/,2022 年学习编程的 50 个最佳网站,编程开发,国内访问困难,,
78,白猫,https://web.baimiaoapp.com/,图版文字提取、数学公式识别、电子表格识别、PDF转文字,识别工具,,,
79,图片转文字,http://www.imagetotxt.com/,在线图片转文字 （备用）,识别工具,,,
80,蛙蛙工具,https://www.iamwawa.cn/,便捷的在线工具网站文本工具,在线工具,,,
81,改图宝,https://www.gaitubao.com/,快速、简单的在线修改图片工具；印章水印二维码格式转换分辨率条形码代做PPT像素尺寸转换证件照,在线工具,,,
82,easyjob,https://www.easyjob.ink/index.html,在线工具,在线工具,,,
83,hao7188,https://www.hao7188.com/,IP 地址查询,在线工具,,,
84, reurl.cc,reurl.cc,短连接,在线工具,,,
85,Grabify.icu,https://grabify.icu/,跟踪和记录 IP 的方法:URL/QR 跟踪器生成器,在线工具,国内无法访问,,
86,经纬度定位,https://lbsyun.baidu.com/jsdemo/demo/yLngLatLocation.htm,根据经纬度定位,在线工具,,,
87,高德开放平台,https://lbs.amap.com/,地图开发,地图开发,,,
88,拷贝兔,https://cp.anyknew.com,免登陆 ，文件、文字临时共享web工具,在线工具,,,
89,macw.com,https://www.macw.com/,精品Mac资源下载网站,软件下载,,,
90,社工库,百度搜索 ：sgk66,社工库，查询自己信息是否暴露(注：非法工具，不要做违法之事，如果暴露，自己没做亏心事也不用怕，也可以尽快更新自己的信息。一般用它找骗子的比较多，骗子一般不会用这种免费的社工库。这种免费社工库一般数据都很老，所以信息不一定正确。),在线工具,,,
91,handbrake,https://handbrake.fr/,视频压缩,软件下载,,,
92,BitComet,https://www.bitcomet.com/en,"比特彗星BitComet 是一个免费的 BitTorrent 下载客户端！
BitComet 功能强大、速度超快且易于使用。macOS/Windows（32 位/64 位）/Android",下载软件,,,
93,Shareaza,http://shareaza.sourceforge.net/,"Shareaza 是 支援 Windows 作業系統的 P2P 客戶端軟體, 讓你在多個熱門的 P2P 網路下載任何類型的檔案. Shareaza 是 免費的 & 不包含 任何間諜軟體或第三者的產品.",下载软件,,,
94,aria2 ,https://aria2.github.io/,aria2 是一个轻量级的多协议和多源命令行 下载工具。它支持HTTP/HTTPS、FTP、SFTP、 BitTorrent和Metalink。aria2 可以通过内置的 JSON-RPC和XML-RPC接口进行操作。,下载软件,,,
95,freedownloadmanager,https://www.freedownloadmanager.org/zh/,"這是一款在Windows, macOS, Android 及Linux 作業系統下，強大又現代的下載加速組織器。",下载软件,,,
96,youtube4kdownloader,https://youtube4kdownloader.com/,youtube视频下载，可以只下视频，也可以只下载声音，也可以一起下载,下载,国内无法访问,,
97,Gihosoft TubeGet,https://www.jihosoft.cn/tubeget/,免费下载youtube视频,下载,,,
98,snapsave,https://snapsave.io/zh-cn,免费下载youtube视频,下载,,,
99,ipaddress,https://www.ipaddress.com/,最佳IP地址工具,在线工具,国内无法访问,,
100,Homebrew,https://brew.sh/,安装包管理器,安装工具,国内访问困难,,
101,dynu,https://www.dynu.com,免费域名,在线工具,国内无法访问,,
102,边缘,https://bianyuan.xyz,订阅转换,在线工具,国内无法访问,,
103,zerotier,https://www.zerotier.com/,随时随地安全连接任何设备,工具软件,国内访问困难,,
104,shutterstock,https://www.shutterstock.com,影片/音乐/图片等买卖,买卖,国内无法访问,,
105,dreamstime,https://www.dreamstime.com,图片买卖,买卖,国内无法访问,,
106,office 365,"https://www.microsoft.com/zh-cn/education/products/office/default.aspx
加入组https://account.activedirectory.windowsazure.com/r#/groupsogin.microsoftonline.com ",免费office365 教育版,软件下载,,,
107,telegram,https://telegram.org/dl/desktop/mac,MAC桌面版本,软件下载,国内无法访问,,
108,ioDraw,https://www.iodraw.com/,流程图制作,软件下载,,,
109,小雅,http://alist.xiaoya.pro/,资源共享,资源共享,,,
110,replit,https://replit.com/,免费网站搭建、可代理,代码搭建,,20230118,
111,xpenology,https://xpenology.club/,安装群晖使用,软件,,20230123,
112,rufus,https://rufus.ie/zh/,轻松创建USB启动盘,软件,,20230123,
113,bluewillow,https://www.bluewillow.ai/,"加入我们，创造令人惊叹的 AI 生成图像,全部免费",在线工具,国内无法访问,,
114,midjourney,https://www.midjourney.com/app/,AI 图片,在线工具,,20230219,
115,android,https://www.android-x86.org/,android系统,软件,,20230221,
116,git,https://git-scm.com/,Git 是一个免费的开源 分布式版本控制系统，旨在快速高效地处理从小型项目到大型项目的所有内容。,软件,,,
117,bluewillow,https://www.bluewillow.ai/,AI 图片,在线工具,,20230223,
118,oracle,https://go.oracle.com/armaccelerator,"注册甲骨文最新通道,无需信用卡",,,20230226,
119,duckduckgo,https://duckduckgo.com/,浏览器,在线工具,,,
120,5sim,https://5sim.net/,电话卡/电话号,在线工具,,,
121,sms-activate,https://sms-activate.org/,电话卡/电话号,在线工具,,20230401,
122,microsoftedgeinsider,https://www.microsoftedgeinsider.com/,edge 浏览器,软件,,20230402,
123,mindshow,https://www.mindshow.fun/#/home,PPT 制作模版,在线工具,,20230402,
124,nvidia,https://www.nvidia.com/en-us/geforce/broadcasting/broadcast-app/,NVIDIA Broadcast 应用程序可将任何房间变成家庭工作室。通过 AI 增强的语音和视频，将您的直播、语音聊天和视频电话会议提升到一个新的水平,软件,,20230406,
125,designer,https://designer.microsoft.com/,制图,在线工具,,20230406,
126,Ethereum,https://ethereum.org/zh/,以太坊官方网站提供了各种以太坊开发文档和教程，可以学习Solidity编程语言、智能合约、以太坊网络等方面的知识。,学习,,20230408,
127,opensea,https://opensea.io/,每一个NFT都是唯一的、不可复制的，以太坊上的NFT市场,市场,,20230408,
128,metamask,https://metamask.io/,创建自己的钱包,钱包,,20230408,
129,decentraland,https://decentraland.org/,在用户拥有的第一个虚拟世界中创建、探索和交易。,游戏,,20230410,
130,SAM,https://github.com/facebookresearch/segment-anything,分段任何东西,代码搭建,,20230410,
131,huggingface,https://huggingface.co/welcome,学习社区,学习,,20230410,
132,arxiv,https://arxiv.org/,arXiv 论坛：我们如何使可访问的研究论文成为现实？,学习,,20230410,
133,AI,https://ai.facebook.com/,https://ai.facebook.com/,在线工具,,20230410,
134,TTSmaker,https://ttsmaker.com/zh-cn,免费的文本转语音工具,在线工具,,20230411,
135,TTS,https://www.text-to-speech.cn/,免费的文本转语音工具,在线工具,,20230411,
136,oudoku,https://ondoku3.com/zh-hans/,免费的文本转语音工具,在线工具,,,
137,civitai,https://civitai.com/,AI 图片模型,在线工具,,,
138,stable-diffusion,https://github.com/camenduru/stable-diffusion-webui-colab,Ai 制图,在线工具,,,
139,prompt,https://prompt.noonshot.com/,AI 制图指令,在线工具,,,
140,JIS,https://www.jisc.go.jp,日本工业标准调查会 体系,质量,,20230424,
141,bing,https://www.bing.com/create,图像创建者,在线工具,,,
142,pdf24,https://tools.pdf24.org/zh/edit-pdf,PDF编辑,在线工具,,20230426,
143,pdf,pdf.new,adobe PDF编辑,在线工具,,,
144,KS,https://www.kssn.net/index.do,韩国工业标准调查会 体系,质量,,,
145,KS,https://www.oksa.or.kr/edu/main.user,韩国工业标准调查会 体系,质量,,,
146,heygen,https://app.heygen.com/home,AI视频网站,在线工具,,,
147,电子国家标准认证 ,https://standard.go.kr/KSCI/portalindex.do,韩国电子国家标准认证 体系,质量,,20230605,
148,黑猫投诉,https://tousu.sina.com.cn/,消费者服务平台,投诉,,20230610,
149,Project Gutenber,https://www.gutenberg.org/,无版权图书,图书,,20230610,
150,junkybooks,https://www.junkybooks.com/,免费图书,图书,,20230610,
151,TheGuardian,http://xp44cagis447k3lpb4wwhcqukix6cgqokbuys24vmxmbzmaq2gjvc2yd.onion,通过代号共享文件,在线工具,N,20230629,
152,ProPublica,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,自由出版,资讯,N,20230629,
153,The Hidden Wiki,http://zqktlwiuavvvqqt4ybvgvi7tyo4hjl5xgfuvpdf6otjiycgwqbym2qad.onion/wiki/,暗网网站,在线工具,N,20230629,
154,MegaTor,http://crqkllx7afomrokwx6f2sjcnl2do2i3i77hjjb4eqetlgq3cths3o6ad.onion,匿名文件共享,在线工具,N,20230629,
155,Ahmia,http://juhanurmihxlp77nkq76byazcldy2hlmovfu2epvl5ankdibsot4csyd.onion/,暗网网站搜索,在线工具,N,20230629,
156,海盗湾,piratebayo3klnzokct3wt5yyxb2vpebbuyjl7m623iaxmqhsd52coid.onion,海盗湾官网,下载,N,20230630,
157,中国裁判文书网,https://wenshu.court.gov.cn/,中国裁判文书网,查询,,20230701,
158,天津市作品著作权登记系统,https://www.tj-copyright.com/,天津市作品著作权登记系统,著作权,,20230702,
159,appstorrent,https://appstorrent.ru/,俄罗斯破解软件,下载,,20230702,
160,kaggle,https://www.kaggle.com/,数据集,资源,,20230705,
161,Google 的最新实验,https://labs.withgoogle.com/,Google 的最新实验,资源,,20230705,
162,软件下载,https://forest.watch.impress.co.jp/,日本下载网站,下载,,,
163,taiwebs,https://taiwebs.com/,免费软件,下载,,,
164,软件下载,https://sharewareonsale.com/,免费软件,s,,,
165,,https://www.anthropic.com/,AI 快速阅读总结,在线工具,,,
166,Google 的最新实验,https://experiments.withgoogle.com/,Google 的最新实验,资源,,20230716,
167,国家教育,https://www.smartedu.cn/,国家教育，课本下载，免费教学,免费学习,,,
168,国家标准全文公开系统,https://openstd.samr.gov.cn/bzgk/gb/,国家标准全文公开系统 体系 国标,质量,,,
169,Chip One Stop,https://www.chip1stop.cn/,电子元器件、半导体的销售网站,购物,,,
170,ISO标准,http://www.isomcx.com/index.php?m=content&c=index&a=lists&catid=40,常用ISO标准下载,质量,,,
171,haxmac,https://haxmac.cc/,MAC破解版软件,软件下载,,,
172,minorpatch.com,https://www.minorpatch.com/,MAC破解版软件,软件下载,,,
173,icrackmac,https://icrackmac.com/,MAC破解版软件,软件下载,,,
174,crackshere,https://www.crackshere.com/,MAC破解版软件,软件下载,,,
175,torrentmac,https://www.torrentmac.net/,MAC破解版软件,软件下载,,,
176,nmac,https://nmac.to/now/,MAC破解版软件,软件下载,,,
177,freecodecamp,https://www.freecodecamp.org/,学习编程,学习,,,
178,flaviocopes,https://flaviocopes.com/books/,编辑语言手册,学习,,,
179,tldr,https://tldr.inbrowser.app/,命令使用查询,学习,,20230903,
180,Adobe Express,https://www.adobe.com/express/,永久免费使用借助由Adob​​e Firefly 提供支持的生成式 AI,在线工具,,,
181,微电子行业全球标准,https://www.jedec.org/document_search?search_api_views_fulltext=eos,微电子行业全球标准,标准,,,
182,infineon,https://community.infineon.com/?profile.language=en,开发者社区,社区,,,
183,aconvert,https://www.aconvert.com/,转换文件,,,,
184,apache,https://echarts.apache.org/,"阿帕奇电子图表
开源 JavaScript 可视化库",在线工具,,,
185,yandex,"https://yandex.com/
https://yandex.eu/",俄罗斯搜索,,,,
186,酷美网盘,https://www.kumeiwp.com/,音乐下载,音乐,,,
187,歌曲宝,https://www.gequbao.com/,音乐下载,音乐,,20230910,
188,机领网,https://www.jlwz.cn/wapindex-1000-325.html,在线全平台音乐提取,音乐,,,
189,铜钟,https://tonzhon.com,音乐下载,音乐,,,
190,国家企业信用信息公示系统,https://www.gsxt.gov.cn,国家企业信用信息公示系统,查询,,20230924,
191,jiba,https://jiba.plus,阴茎锻炼手册 男人的性福宝典，成人,健身,,20230925,
192,vk,https://vk.com/,VK 是一家位于圣彼得堡的俄罗斯在线社交媒体和社交网络服务，电影，netflix，奈飞,视频,,20230927,
193,aspose,https://products.aspose.app/,适用于最流行文件格式的免费在线应用程序,在线工具,,,
194,1024,https://1024tools.com/,程序员开发工具箱 UUID,在线工具,,,
195,IP,https://stock.hostmonit.com/CloudFlareYes,CloudFlare优质IP自动切换,在线工具,,,
196,V2RAY 中文资源,https://www.linuxv2ray.com/,V2RAY服务器搭建配置完整教程，跟着本站教程文章操作，看完你也会,代理软件,,,
197,v2rayu,https://v2rayu.org/, V2rayU 使用教程,代理软件,,,
198,clashX,https://github.com/yichengchen/clashX/releases,代理软件,代理软件,,,
199,微信公众平台,https://mp.weixin.qq.com/,公众号 服务号 订阅号 小程序,软件,,20231011,
200,000webhost,http://www.000webhost.com/,免费空间可绑定自己的域名,空间,,,
201,ucoz,http://www.ucoz.com/,免费空间可绑定自己的域名,空间,,,
202,rutracker,https://rutracker.org/,俄罗斯破解软件资源下载,软件,,,
203,音乐,https://uppbeat.io/,背景音乐下载,音乐,,,
204,制作动画,https://www.adobe.com/express/create/video/animation/youtube,免费为 YouTube 制作动画,在线工具,,,
205,图片,https://smart.servier.com/?s=heart,免费医学图片,在线工具,,,
206,pexels,https://www.pexels.com/,免费分享最精彩的素材图片和视频,在线工具,,,
207,飞桨,https://aistudio.baidu.com,百度 AI Studio,开发,,,
208,百度空间文章,https://wenzhang.baidu.com/,百度空间文章,博客,,,
209,macked,https://macked.app/,Mac 软件下载,软件下载,,20231104,
210,khan academy 可汗学院,https://www.khanacademy.org,免费授课，现有关于数学、历史、金融、物理、化学、生物、天文学、计算机编程等科目的内容,免费学习,,20231107,
211,CODE,https://code.org/,小学生免费学习编程,免费学习,,20231107,
212,noba,https://nobaproject.com/,免费学习心理学,免费学习,,,
213,photopea,https://www.photopea.com,在线Photoshop制图绘图工具,在线工具,,,
214,MIT,https://ocw.mit.edu,开放式课程,免费学习,,,
215,Project Gutenberg,https://www.gutenberg.org,免费电子书,免费电子书,,,
216,zotero,https://www.zotero.org,个人助理，学者的必需品,开源软件,,,
217,终端使用手册,https://support.apple.com/zh-cn/guide/terminal/welcome/mac, macOS 终端使用手册,免费学习,,,
218,Shell 脚本入门,https://developer.apple.com/library/archive/documentation/OpenSource/Conceptual/ShellScripting/Introduction/Introduction.html#//apple_ref/doc/uid/TP40004268-TP40003516-SW1, macOS 终端使用手册Shell 脚本入门,免费学习,,,
219,123云盘,https://www.123pan.com/,免费网盘,免费网盘,,20240107,
220,蓝奏云,https://up.woozooo.com,免费网盘,免费网盘,,20240109,
221,Session,https://getsession.org/,是一款免费、开源、注重隐私的消息传递应用程序，完全匿名通信,聊天通信软件,国内无法访问,20240110,但是需要代理才发送消息
222,mdeiafire,https://app.mediafire.com/myfiles,网盘，不登录可以做为临时网盘使用,网盘,,20240517,
223,电影先生,https://dianyi.ng/,"https://2.2.AF 极快(43ms)
https://DianYi.ng 极快(46ms)
https://Www.DianYi.ng 极快(51ms)
https://电影先生.Com 极快(117ms)
https://DianYing.XianShe.ng 极快(226ms)",电影,,20240601,
224,影视大全,https://ys2046.site/,,电影,,,
225,scamalytics,https://scamalytics.com/,检测IP风险,在线工具,,,
226,emailtick,https://www.emailtick.com/,临时邮箱,在线工具,,20240815,
227,dynv6,https://dynv6.com/,免费域名,免费域名,,,
228,apkpure,https://apkpure.com/apk-downloader,从google Play直接复制下载地址进行下载,下载,,,
229,向日葵,https://sunlogin.oray.com/download,远程控制,软件下载,,,
230,91小键人,https://dazi.91xjr.com,在线练习打字,在线工具,,,
231,typingclub,https://www.typingclub.com/sportal/,在线练习打字,在线工具,,,
232,makerworld,https://makerworld.com/,3D打印模型,3D,,20240825,
233,gofile,https://gofile.io/welcome,临时网盘,网盘,,,
234,辟谣,https://piyao.kepuchina.cn/,辟谣,知识,,,
235,科普中国,https://www.kepuchina.cn/,科普中国,知识,,,
236,盘友圈,https://panyq.com/,搜索网盘资源,工具软件,,,
237,uptodown,https://www.uptodown.com/mac,各免软件下载,下载软件,,,
238,filechef,https://www.filechef.link/,软件下载,软件下载,,,
239,etsi,https://www.etsi.org/standards#Pre-defined%20Collections,标准下载,标准,,,
240,Google Scholar,https://scholar.google.com/, Google Scholar 主要用于搜索学术论文,搜索工具,,,
241,英国政府,https://www.gov.uk/,查找政府服务和信息的最佳地点,国家,,20240830,
242,Borderfree,https://borderfree.app/,无界浏览看世界 浏览器,代理软件,,,
243,24h搜书,https://24hbook.store/,搜书,图书,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,wldt.qsyshare.com,,,
,,,,反馈邮箱：qsyshare@163.com,,,
